store_id,store_name,city,state,postal
2631,Livonia Plymouth Rd Supercenter,Livonia,MI,48150
3476,Canton Ford Rd Supercenter,Canton,MI,48187
5844,Livonia 7 Mile Supercenter,Livonia,MI,48152
4383,Dearborn Supercenter,Dearborn,MI,48126
5761,Canton Michigan Ave Supercenter,Canton,MI,48188
5893,Novi Supercenter,Novi,MI,48375
2912,Taylor Supercenter,Taylor,MI,48180
2872,Van Buren Twp Supercenter,Van Buren Twp,MI,48111
2618,Commerce Supercenter,Commerce,MI,48390
5842,Southgate Supercenter,Southgate,MI,48195
2873,Troy Supercenter,Troy,MI,48084
5048,New Hudson Supercenter,New Hudson,MI,48165
3336,Woodhaven Supercenter,Woodhaven,MI,48183
4424,Warren Supercenter,Warren,MI,48093
2559,Sterling Heights Van Dyke Ave Supercenter,Sterling Heights,MI,48312
2700,White Lake Supercenter,White Lake,MI,48386
2354,Rochester Hills Supercenter,Rochester Hills,MI,48309
5472,Saline Supercenter,Saline,MI,48176
2558,Sterling Heights Mound Rd Store,Sterling Heights,MI,48314
2959,Roseville Supercenter,Roseville,MI,48066
3487,Shelby Township Supercenter,Shelby Township,MI,48315
4660,Clinton Township Supercenter,Clinton Township,MI,48038
1790,Monroe Supercenter,Monroe,MI,48162
1754,Howell Supercenter,Howell,MI,48843
2692,Chesterfield Supercenter,Chesterfield,MI,48051
2693,Fenton Supercenter,Fenton,MI,48430
2899,Avon Store,Avon,CT,06001
2719,Bristol Store,Bristol,CT,06010
5095,Hartford Supercenter,Hartford,CT,06106
2144,Torrington Store,Torrington,CT,06790
2965,Newington Store,Newington,CT,06111
2897,Southington Store,Southington,CT,06489
2900,Rocky Hill Store,Rocky Hill,CT,06067
2299,Cromwell Supercenter,Cromwell,CT,06416
2282,East Windsor Supercenter,East Windsor,CT,06088
1891,Manchester Supercenter,Manchester,CT,06042
3548,Waterbury Store,Waterbury,CT,06705
2371,Wallingford Supercenter,Wallingford,CT,06492
2174,Westfield Supercenter,Westfield,MA,01085
2284,Naugatuck Supercenter,Naugatuck,CT,06770
3545,Hamden Store,Hamden,CT,06514
1967,Springfield Supercenter,Springfield,MA,01119
5278,Chicopee Supercenter,Chicopee,MA,01020
5439,New Haven Supercenter,New Haven,CT,06513
3546,New Milford Store,New Milford,CT,06776
2180,Danvers Store,Danvers,MA,01923
2640,Salem Store,Salem,MA,01970
3114,Saugus Supercenter,Saugus,MA,01906
2139,Lynn Store,Lynn,MA,01905
2660,North Reading Store,North Reading,MA,01864
3491,Methuen Store,Methuen,MA,01844
2222,Tewksbury Supercenter,Tewksbury,MA,01876
1930,Plaistow Store,Plaistow,NH,03865
2903,Chelmsford Store,Chelmsford,MA,01824
2142,Salem Supercenter,Salem,NH,03079
1762,Seabrook Supercenter,Seabrook,NH,03874
2341,Quincy Store,Quincy,MA,02169
3200,Weymouth Store,Weymouth,MA,02188
1785,Hudson Store,Hudson,NH,03051
2902,Framingham Store,Framingham,MA,01701
1753,Derry Supercenter,Derry,NH,03038
2122,Avon Supercenter,Avon,MA,02322
3535,Epping Supercenter,Epping,NH,03042
2103,Walpole Supercenter,Walpole,MA,02081
2227,Abington Store,Abington,MA,02351
2130,Portsmouth Supercenter,Portsmouth,NH,03801
2904,Brockton Store,Brockton,MA,02301
1970,Hudson Supercenter,Hudson,MA,01749
1845,Cooper City Supercenter,Cooper City,FL,33330
4826,Hollywood Stirling Rd Neighborhood Market,Hollywood,FL,33024
2987,Davie Supercenter,Davie,FL,33328
5932,Pembroke Pines Pines Blvd Supercenter,Pembroke Pines,FL,33027
1511,Miramar Supercenter,Miramar,FL,33025
2591,Pembroke Pines Sw 184th Ave Supercenter,Pembroke Pines,FL,33029
2151,Sunrise Sawgrass Mall Supercenter,Sunrise,FL,33323
4595,Plantation Neighborhood Market,Plantation,FL,33322
3163,Hollywood S State Rd 7 Supercenter,Hollywood,FL,33023
3311,Miami Gardens Nw 27th Ave Supercenter,Miami Gardens,FL,33056
1349,Sunrise N University Drive Supercenter,Sunrise,FL,33351
1590,Hialeah Nw 177th St Supercenter,Hialeah,FL,33015
2946,Fort Lauderdale Supercenter,Fort Lauderdale,FL,33312
2907,Miami Gardens Nw 167th St Neighborhood Market,Miami Gardens,FL,33055
3625,Lauderdale Lakes Supercenter,Lauderdale Lakes,FL,33313
3397,Miami Gardens Nw 2nd Ave Supercenter,Miami Gardens,FL,33169
2930,Tamarac Neighborhood Market,Tamarac,FL,33321
4563,Dania Beach Neighborhood Market,Dania Beach,FL,33004
1851,North Lauderdale Supercenter,North Lauderdale,FL,33068
3235,North Miami Beach Supercenter,North Miami Beach,FL,33162
5615,Hialeah Gardens Neighborhood Market,Hialeah Gardens,FL,33018
1996,Hallandale Beach Supercenter,Hallandale Beach,FL,33009
