store_id,13FORGOSKCZT,17IWT6UXSUNY,1ZE76I256ORN,1ZIJ3VQCTHCY,2HZGMGX9CH7B,4D6E6Q26DR5Y,4ETHFRENRPHZ,4Q0TKXQH68DU,4RBAQAZ22QPK,4RZH2TZIYXIC,50EDQAQZTZE9,5DXCZPT4SHCX,5H2QX4ATI1DJ,6LWJFDBEY9VO
10,1,1,1,1,1,,1,1,,1,1,,1,1
1004,,1,,1,,,,,,,1,,,1
1005,,1,,1,,,,,,,1,,,1
1007,,1,,,,,,,,,,,,1
1008,,1,,1,,,,,,,1,,,1
1012,,1,,1,,,,,,,1,,,1
1013,,1,,1,,,,,,,1,,,1
1014,,1,,1,,,,,,,,,,
1015,,1,,1,,,,,,,1,,,1
1017,,1,,1,,,,,,,1,,,1
1023,,1,,1,,,,,,,1,,,1
1025,,1,,1,,,,,,,1,,,1
1026,,,,1,,,,,,,1,,,
1032,,1,,1,,,,,,,1,,,1
1033,,1,,1,,,,,,,1,,,1
1037,,1,,1,,,,,,,1,,,1
1039,,1,,,,,,,,,1,,,1
1044,,,,1,,,,,,,1,,,
1047,,1,,1,,,,,,,1,,,1
105,1,,1,,1,,1,1,,1,,,1,
1052,,1,,1,,,,,,,1,,,1
1058,,,,1,,,,,,,1,,,1
1062,,1,,1,,,,,,,1,,,1
1064,,1,,1,,,,,,,1,,,1
107,,1,,1,,,,,,,1,,,1
1071,,1,,1,,,,,,,1,,,1
1072,,1,,,,,,,,,1,,,1
1074,1,,1,,1,,1,1,,1,,,1,
1080,,1,,1,,,,,,,1,,,1
1081,1,,1,,1,,1,1,,1,,,1,
109,,1,,1,,,,,,,1,,,1
1091,,1,,1,,,,,,,1,,,1
1093,,1,,1,,,,,,,1,,,1
1094,,,,1,,,,,,,1,,,1
1095,,1,,1,,,,,,,1,,,1
1099,,1,,1,,,,,,,1,,,1
1102,,1,,1,,,,,,,,,,1
1103,,,,1,,,,,,,1,,,1
1104,,1,,1,,,,,,,1,,,1
1111,,1,,1,,,,,,,1,,,1
1113,,1,,1,,,,,,,1,,,1
1114,,,,1,,,,,,,1,,,1
112,,1,,1,,,,,,,1,,,1
1120,,1,,1,,,,,,,,,,
1122,,1,,1,,,,,,,,,,1
1123,,,,,,,,,,,1,,,1
1125,,1,,1,,,,,,,1,,,1
1130,,1,,,,,,,,,1,,,
1135,,1,,1,,1,,,1,,1,,,1
1137,,1,,1,,,,,,,1,,,1
1138,1,1,1,1,1,,,1,,1,1,,1,1
1139,,1,,1,,,,,,,1,,,1
114,,1,,1,,,,,,,,,,1
1140,,1,,1,,,,,,,1,,,1
1142,,,,1,,,,,,,1,,,
1143,,1,,1,,,,,,,1,,,1
1144,,1,,1,,,,,,,1,,,
1146,,1,,1,,,,,,,1,,,1
1148,1,,1,,,,1,1,,1,,,1,
115,,1,,1,,,,,,,,,,1
1150,,1,,1,,,,,,,1,,,1
1153,,1,,1,,,,,,,1,,,1
1154,,1,,1,,,,,,,1,,,1
1157,,1,,1,,,,,,,1,,,1
1158,,1,,1,,,,,,,1,,,1
1160,,1,,1,,,,,,,1,,,1
1161,,1,,1,,,,,,,1,,,1
1164,,1,,1,,,,,,,1,,,1
1165,,1,,1,,,,,,,1,,,1
1171,,1,,1,,,,,,,1,,,1
1172,,1,,1,,,,,,,1,,,1
1176,,1,,1,,,,,,,1,,,1
1179,,1,,1,,,,,,,1,,,1
118,,1,,1,,,,,,,,,,1
1181,,1,,1,,,,,,,1,,,1
1182,,1,,1,,,,,,,1,,,1
1184,,1,,1,1,,1,1,,1,1,,1,1
1187,,1,,1,,,,,,,1,,,1
119,1,,1,,1,,1,1,,1,,,1,
1193,,1,,1,,,,,,,1,,,1
1196,,1,,1,,,,,,,1,,,1
1197,,1,,,,,,,,,1,,,1
120,,1,,1,,,,,,,1,,,1
1200,,,,1,,,,,,,1,,,1
1201,,1,,1,,,,,,,1,,,1
1203,,1,,1,,,,,,,1,,,1
1207,,1,,1,,,,,,,1,,,1
1209,,1,,,,,,,,,1,,,1
1210,,1,,1,,,,,,,1,,,1
1211,,1,,,,,,,,,,,,
1216,,1,,1,,,,,,,1,,,
1217,,1,,,,,,,,,1,,,1
1221,,1,,1,,,,,,,1,,,1
1222,,1,,1,,,,,,,1,,,1
1223,,1,,1,,,,,,,1,,,1
1224,,1,,1,,,,,,,1,,,1
1225,,1,,1,,,,,,,1,,,1
1227,,1,,1,,,,,,,,,,1
1233,,1,,1,,,,,,,1,,,1
1236,,1,,1,,,,,,,1,,,1
1237,,1,,1,,,,,,,,,,
1239,,1,,1,,,,,,,1,,,1
1241,1,,1,,1,,1,1,,1,,,1,
1243,,1,,1,,,,,,,1,,,1
1244,,1,,,,,,,,,1,,,1
1247,,1,,1,,,,,,,1,,,1
1248,,1,,1,,,,,,,1,,,1
1249,,1,,1,,,,,,,1,,,1
125,,1,,1,,,,,,,1,,,1
1253,,1,,1,,,,,,,1,,,1
1254,,,,1,,,,,,,1,,,1
1256,,1,,1,,,,,,,1,,,1
126,,1,,1,,,,,,,1,,,1
1261,1,1,1,1,1,,1,1,,1,1,,1,1
1263,,1,,1,,,,,,,1,,,1
1270,,1,,1,,,,,,,1,,,1
1271,,1,,1,,,,,,,1,,,1
1272,,1,,1,,,,,,,1,,,1
1279,,1,,,,,,,,,,,,1
128,,1,,1,,,,,,,1,,,1
1280,,1,,1,,,,,,,1,,,1
1283,,1,,1,,,,,,,1,,,1
1286,,,,,,,,,,,1,,,
1288,,1,,1,,,,,,,1,,,1
1291,,,,1,,,,,,,1,,,
1292,,1,,,,,,,,,1,,,1
1294,,1,,1,,,,,,,1,,,1
1297,,1,,,,,,,,,1,,,1
1300,,,,,,,,,,,1,,,
1302,,1,,1,,,,,,,1,,,1
1303,,1,,,,,,,,,1,,,1
1306,,1,,1,,,,,,,1,,,1
1307,,1,,1,,,,,,,1,,,
1309,,1,,,,,,,,,1,,,1
1310,,1,,1,,,,,,,1,,,1
1313,,1,,1,,,,,,,1,,,1
1314,,,,1,,,,,,,1,,,
1318,,1,,1,,,,,,,1,,,1
1320,,1,,1,,,,,,,1,,,1
1327,,1,,1,,,,,,,1,,,1
1328,,1,,1,,,,,,,1,,,1
1330,,1,,1,,,,,,,1,,,1
1332,,1,,1,,,,,,,1,,,1
1333,,1,,1,,,,,,,1,,,1
1337,,1,,1,,,,,,,1,,,1
1339,,1,,1,,,,,,,1,,,1
134,,1,,1,,,,,,,1,,,1
1340,,,,,,,,,,,,,,1
1341,,1,,1,,,,,,,1,,,1
1344,,1,,,,,,,,,1,,,1
1350,1,1,1,1,1,,1,1,,1,1,,1,1
1352,,1,,1,,,,,,,1,,,1
1353,,,,1,,,,,,,,,,1
1354,,1,,1,,,,,,,1,,,
1360,,1,,,,,,,,,1,,,1
1361,1,1,1,1,,,1,1,,1,1,,1,1
1362,,1,,1,,,,,,,1,,,1
1363,,1,,1,,,,,,,1,,,1
1366,,1,,1,,,,,,,,,,1
1367,,1,,1,,,,,,,1,,,1
137,,1,,1,,,,,,,1,,,1
1370,,1,,1,,,,,,,1,,,1
1372,1,1,1,1,1,,1,1,,1,1,,1,1
1374,,1,,1,,,,,,,1,,,1
1379,,1,,1,,,,,,,1,,,1
138,,1,,1,,,,,,,1,,,1
1384,,1,,1,,,,,,,1,,,1
1385,,1,,1,,,,,,,1,,,
1386,,1,,,,,,,,,1,,,1
1387,1,,1,,1,,1,1,,1,,,,
1388,,1,,1,,,,,,,1,,,1
1389,,1,,1,,,,,,,1,,,
139,,1,,1,,,,,,,1,,,1
1391,,1,,1,,,,,,,1,,,1
1392,1,,1,,1,,1,1,,1,,,1,
1395,,1,,1,,,,,,,1,,,1
14,,1,,1,,,,,,,,,,1
140,,1,,1,,,,,,,1,,,1
1403,,1,,1,,,,,,,1,,,1
1406,,1,,1,,,,,,,1,,,1
1407,,1,,1,,,,,,,,,,1
1408,,1,,,,,,,,,1,,,1
141,,1,,1,,,,,,,1,,,1
1412,,1,,,,,,,,,1,,,1
1415,,1,,1,,,,,,,1,,,1
1418,,1,,1,,,,,,,1,,,1
1422,,1,,1,,,,,,,1,,,1
1423,,1,,1,,,,,,,1,,,1
1426,,1,,1,,,,,,,1,,,
1427,,1,,1,,,,,,,1,,,1
1428,,1,,1,,,,,,,1,,,1
1429,,,,,,,,,,,,,,1
143,,1,,1,,,,,,,1,,,1
1430,,1,,1,,,,,,,1,,,1
1432,,1,,1,,,,,,,,,,1
1433,,1,,1,,,,,,,1,,,1
1434,,1,,1,,,,,,,1,,,1
1435,,1,,1,,,,,,,1,,,1
1437,,1,,1,,,,,,,1,,,1
1441,,1,,1,,,,,,,,,,1
1444,,1,,1,,,,,,,1,,,1
1445,,1,,1,,,,,,,1,,,1
1448,,1,,1,,,,,,,1,,,1
1449,,1,,1,,,,,,,1,,,1
1453,,1,,1,,,,,,,1,,,1
1454,,1,,1,,,,,,,1,,,1
1457,,,,1,,,,,,,1,,,
1461,,1,,1,,,,,,,1,,,1
1468,,1,,1,,,,,,,1,,,1
147,,1,,1,1,,,,,,,,,1
1470,,1,,1,,,,,,,1,,,1
1472,,1,,,,,,,,,1,,,1
1473,,1,,1,,,,,,,1,,,1
1474,,1,,1,,,,,,,1,,,1
1479,,1,,1,,,,,,,1,,,1
1483,,1,,1,,,,,,,,,,1
1487,,1,,,,,,,,,,,,
1489,,,,1,,,,,,,1,,,1
1490,,1,,1,,,,,,,1,,,1
1491,,1,,1,,,,,,,1,,,1
1494,,1,,1,,,,,,,1,,,1
1495,,1,,1,,,,,,,,,,1
15,,1,,1,,,,,,,1,,,1
1500,1,1,1,1,1,,1,1,,1,1,,1,1
1501,,1,,1,,,,,,,1,,,1
1503,1,1,1,1,1,,1,1,,,,,,1
1505,1,1,1,1,1,,1,1,,1,1,,1,1
1507,1,1,1,1,1,,1,1,,1,1,,1,1
151,,1,,1,,,,,,,1,,,1
1510,,1,,1,,,,,,,1,,,1
1511,,1,,,,,,,,,1,,,1
1515,,1,,1,,,,,,,,,,1
1521,,,,1,,,,,,,1,,,1
1523,,,,,,,,,,,1,,,1
1531,,1,,1,,,,,,,1,,,1
1533,,1,,,,,,,,,,,,1
1534,1,,1,,1,,1,1,,1,,,1,
1535,,1,,1,,,,,,,1,,,1
1536,1,,1,1,1,,,1,,,1,,1,1
1538,,1,,1,,,,,,,,,,1
154,,1,,1,,,,,,,1,,,1
1542,,1,,1,,,,,,,1,,,1
1545,,1,,1,,,,,,,1,,,1
1547,1,1,1,1,1,,1,1,,1,1,,1,1
1549,,1,,1,,,,,,,1,,,1
155,,1,,1,,,,,,,1,,,1
1553,1,,1,,,,1,1,,1,,,1,
1556,1,1,,1,1,,,1,,,1,,,1
1558,,1,,1,,,,,,,1,,,1
1559,1,1,1,1,1,,1,1,,1,1,,1,
1564,,1,,,,,,,,,1,,,1
1565,1,1,1,1,1,,1,1,,1,1,,1,1
1567,,1,,1,,,,,,,1,,,1
1568,,1,,1,,,,,,,1,,,1
157,1,,1,,1,,1,1,,1,,,1,
1571,,1,,1,,,,,,,1,,,1
1572,,1,,1,,,,,,,1,,,1
1574,,1,,1,,,,,,,1,,,1
1576,1,1,1,1,1,,1,1,,1,1,,1,1
1578,,,1,,,,,,,,,,1,1
1579,,1,,1,,,,,,,1,,,1
1580,,1,,1,,,,,,,1,,,1
1581,,1,,1,,,,,,,1,,,1
1584,1,1,1,1,1,,1,1,,1,1,,1,1
1585,1,1,1,1,1,,1,1,,1,1,,1,1
159,,1,,1,,,,,,,1,,,1
1596,1,1,,1,1,,,1,,,1,,,1
1597,,1,,1,,,,,,,1,,,1
16,,1,,1,,,,,,,1,,,1
1600,,1,,1,,,,,,,1,,,1
1604,,1,,,,,,,,,1,,,1
1607,,1,,1,,,,,,,1,,,1
1608,,1,,1,,,,,,,1,,,1
161,,1,,1,,,,,,,1,,,1
1610,,1,,1,,,,,,,1,,,1
1614,,1,,1,,,,,,,1,,,1
1617,1,1,1,1,1,,1,1,,1,1,,1,1
1620,,1,,,,,,,,,1,,,1
1627,,1,,1,,,,,,,1,,,1
1628,,1,,1,,,,,,,,,,1
1629,,1,,1,,,,,,,1,,,1
1631,,1,,1,,,,,,,1,,,1
1634,,1,,1,,,,,,,1,,,1
1638,,1,,1,,,,,,,1,,,1
164,,1,,1,,,,,,,1,,,1
1641,,1,,1,,,,,,,1,,,1
1645,,1,,1,,,,,,,1,,,1
1648,,,,1,,,,,,,1,,,1
1652,,1,,1,,,,,,,1,,,1
1655,,1,,1,,,,,,,1,,,1
1657,,1,,1,,,,,,,1,,,1
1663,,1,,1,,,,,,,1,,,1
1667,,1,,1,,,,,,,1,,,1
1671,1,1,1,1,1,,1,1,,1,1,,1,1
1672,,1,,1,,,,,,,1,,,1
1677,1,,1,,1,,1,1,,1,,,1,
1678,,1,,1,,,,,,,1,,,
1679,,1,,1,,,,,,,1,,,1
1687,,1,1,1,1,,1,1,,,,,1,1
1688,,1,,1,,,,,,,,,,1
1699,,1,,1,,,,,,,1,,,1
17,,1,,,,,,,,,1,,,
1700,,1,,,,,,,,,,,,
1701,,1,,1,,,,,,,1,,,1
1703,,1,,1,,,,,,,1,,,1
1711,,,,1,,,,,,,1,,,1
1712,,1,,1,,,,,,,1,,,
1714,,1,,1,,,,,,,1,,,1
1715,,1,,1,,,,,,,1,,,1
1718,,,,1,,,,,,,1,,,
1722,,,,1,,,,,,,1,,,1
1723,,1,,1,,,,,,,1,,,1
1725,,1,,,,,,,,,1,,,
1732,,1,,1,,,,,,,1,,,1
1734,,1,,1,,,,,,,1,,,1
1736,,1,,1,,,,,,,,,,1
1739,,1,,1,,,,,,,1,,,1
1740,,1,,1,,,,,,,1,,,1
1742,1,1,1,1,1,,1,1,,1,1,,1,1
