zip,state
75412,TX
75417,TX
75494,TX
75566,TX
75630,TX
75831,TX
75833,TX
75838,TX
75840,TX
75845,TX
75851,TX
75925,TX
75929,TX
75932,TX
75933,TX
75948,TX
75968,TX
75980,TX
76301,TX
76363,TX
76365,TX
76374,TX
76380,TX
76384,TX
76430,TX
76432,TX
76436,TX
76442,TX
76453,TX
76458,TX
76464,TX
76483,TX
76491,TX
76519,TX
76531,TX
76565,TX
76634,TX
76648,TX
76820,TX
76821,TX
76825,TX
76827,TX
76828,TX
76832,TX
76836,TX
76837,TX
76842,TX
76849,TX
76854,TX
76861,TX
76862,TX
76865,TX
76883,TX
76932,TX
76934,TX
76935,TX
76936,TX
76943,TX
76949,TX
76950,TX
77352,TX
77364,TX
77465,TX
77665,TX
77856,TX
77957,TX
77963,TX
77983,TX
78007,TX
78008,TX
78014,TX
78021,TX
78022,TX
78024,TX
78040,TX
78043,TX
78045,TX
78067,TX
78076,TX
78140,TX
78330,TX
78336,TX
78343,TX
78349,TX
78353,TX
78357,TX
78361,TX
78368,TX
78377,TX
78418,TX
78501,TX
78520,TX
78536,TX
78538,TX
78560,TX
78564,TX
78566,TX
78569,TX
78635,TX
78643,TX
78801,TX
78827,TX
78828,TX
78829,TX
78832,TX
78837,TX
78839,TX
78840,TX
78851,TX
78852,TX
78870,TX
78877,TX
78880,TX
78883,TX
79001,TX
79005,TX
79007,TX
79009,TX
79011,TX
79013,TX
79014,TX
79015,TX
79018,TX
79019,TX
79027,TX
79031,TX
79035,TX
79036,TX
79041,TX
79042,TX
79043,TX
79044,TX
79057,TX
79059,TX
79062,TX
79079,TX
79084,TX
79086,TX
79087,TX
79095,TX
79098,TX
79201,TX
79220,TX
79227,TX
79234,TX
79235,TX
79237,TX
79241,TX
79250,TX
79257,TX
79313,TX
79316,TX
79323,TX
79324,TX
79325,TX
79330,TX
79331,TX
79342,TX
79344,TX
79351,TX
79355,TX
79356,TX
79364,TX
79370,TX
79376,TX
79501,TX
79502,TX
79504,TX
79505,TX
79508,TX
79511,TX
79512,TX
79520,TX
79521,TX
79526,TX
79535,TX
79701,TX
79713,TX
79714,TX
79718,TX
79731,TX
79734,TX
79735,TX
79739,TX
79740,TX
79741,TX
79745,TX
79756,TX
79772,TX
79783,TX
79821,TX
79830,TX
79836,TX
79839,TX
79843,TX
79847,TX
79852,TX
79854,TX
79906,TX
79938,TX
00601,PR
00602,PR
00606,PR
00612,PR
00646,PR
00704,PR
00707,PR
00718,PR
00765,PR
85137,AZ
85141,AZ
85145,AZ
85173,AZ
85321,AZ
85328,AZ
85333,AZ
85337,AZ
85344,AZ
85347,AZ
85348,AZ
85350,AZ
85354,AZ
85356,AZ
85364,AZ
85390,AZ
85501,AZ
85533,AZ
85534,AZ
85535,AZ
85541,AZ
85542,AZ
85544,AZ
85545,AZ
85602,AZ
85603,AZ
85606,AZ
85607,AZ
85611,AZ
85613,AZ
85614,AZ
85621,AZ
85623,AZ
85632,AZ
85634,AZ
85641,AZ
85643,AZ
85901,AZ
85920,AZ
85922,AZ
85924,AZ
85925,AZ
85928,AZ
85936,AZ
85937,AZ
86001,AZ
86015,AZ
86024,AZ
86025,AZ
86036,AZ
86044,AZ
86046,AZ
86047,AZ
86301,AZ
86305,AZ
86315,AZ
86321,AZ
86333,AZ
86334,AZ
86335,AZ
86401,AZ
86403,AZ
86411,AZ
86413,AZ
86426,AZ
86434,AZ
86441,AZ
86443,AZ
86503,AZ
86505,AZ
86514,AZ
86547,AZ
30411,GA
30413,GA
30417,GA
30442,GA
30631,GA
30669,GA
30803,GA
31006,GA
31015,GA
31045,GA
31058,GA
31078,GA
31079,GA
31331,GA
31501,GA
31512,GA
31516,GA
31537,GA
31543,GA
31552,GA
31601,GA
31602,GA
31622,GA
31625,GA
31626,GA
31631,GA
31648,GA
31701,GA
31709,GA
31714,GA
31730,GA
31815,GA
31821,GA
31826,GA
38609,MS
38647,MS
38701,MS
38720,MS
38721,MS
38725,MS
38736,MS
38751,MS
38901,MS
38914,MS
38915,MS
38916,MS
38917,MS
38961,MS
38967,MS
39069,MS
39079,MS
39086,MS
39120,MS
39162,MS
39175,MS
39328,MS
39341,MS
39347,MS
39362,MS
39423,MS
39455,MS
39461,MS
39631,MS
39641,MS
39669,MS
39813,GA
39817,GA
43754,OH
43756,OH
53503,WI
53510,WI
53530,WI
53543,WI
53805,WI
53929,WI
53934,WI
53941,WI
53964,WI
54004,WI
54103,WI
54104,WI
54112,WI
54149,WI
54201,WI
54202,WI
54204,WI
54210,WI
54401,WI
54404,WI
54405,WI
54406,WI
54409,WI
54411,WI
54420,WI
54423,WI
54424,WI
54433,WI
54435,WI
54459,WI
54470,WI
54493,WI
54501,WI
54514,WI
54517,WI
54519,WI
54525,WI
54526,WI
54538,WI
54610,WI
54612,WI
54614,WI
54615,WI
54618,WI
54622,WI
54728,WI
54745,WI
54747,WI
54763,WI
54801,WI
54814,WI
54820,WI
54821,WI
54828,WI
54830,WI
54836,WI
54838,WI
54854,WI
54862,WI
54880,WI
87005,NM
87009,NM
87012,NM
87013,NM
87014,NM
87016,NM
87017,NM
87024,NM
87026,NM
87028,NM
87029,NM
87045,NM
87301,NM
87312,NM
87315,NM
87321,NM
87325,NM
87416,NM
87419,NM
87420,NM
87520,NM
87521,NM
87528,NM
87529,NM
87530,NM
87552,NM
87556,NM
87560,NM
87711,NM
87713,NM
87714,NM
87718,NM
87728,NM
87730,NM
87733,NM
87734,NM
87740,NM
87801,NM
87820,NM
87821,NM
87827,NM
87829,NM
87832,NM
87901,NM
87930,NM
87931,NM
87939,NM
88001,NM
88020,NM
88022,NM
88025,NM
88030,NM
88034,NM
88039,NM
88045,NM
88061,NM
88081,NM
88114,NM
88118,NM
88119,NM
88120,NM
88121,NM
88134,NM
88136,NM
88201,NM
88203,NM
88210,NM
88213,NM
88220,NM
88250,NM
88256,NM
88260,NM
88264,NM
88265,NM
88301,NM
88310,NM
