date,key,label,stores_in_stock
2026-07-03T02:20:11+00:00,5H2QX4ATI1DJ,Elite-Rx Top Black,177
2026-07-03T02:20:11+00:00,1KRDDGWXKNNA,Elite-Rx Top Gray,0
2026-07-03T02:20:11+00:00,4ETHFRENRPHZ,Elite-Rx Top Navy,171
2026-07-03T02:20:11+00:00,1ZE76I256ORN,Elite-Rx Top Pink,171
2026-07-03T02:20:11+00:00,2HZGMGX9CH7B,Elite-Rx Top Teal,168
2026-07-03T02:20:11+00:00,13FORGOSKCZT,Elite-Rx Bottom Black,184
2026-07-03T02:20:11+00:00,4D6E6Q26DR5Y,Elite-Rx Bottom Gray,1
2026-07-03T02:20:11+00:00,4Q0TKXQH68DU,Elite-Rx Bottom Navy,177
2026-07-03T02:20:11+00:00,27AYQ5GIHIZC,Elite-Rx Bottom Pink,0
2026-07-03T02:20:11+00:00,4RZH2TZIYXIC,Elite-Rx Bottom Teal,171
2026-07-03T02:20:11+00:00,6LWJFDBEY9VO,Pro Fit Top Black,657
2026-07-03T02:20:11+00:00,2BJPSI4E7G2O,Pro Fit Top Ciel Blue,0
2026-07-03T02:20:11+00:00,1ZIJ3VQCTHCY,Pro Fit Top Royal Blue,651
2026-07-03T02:20:11+00:00,2W23FS30IIX4,Pro Fit Top Wine,0
2026-07-03T02:20:11+00:00,17IWT6UXSUNY,Pro Fit Bottom Black,672
2026-07-03T02:20:11+00:00,4RBAQAZ22QPK,Pro Fit Bottom Ciel Blue,1
2026-07-03T02:20:11+00:00,50EDQAQZTZE9,Pro Fit Bottom Royal Blue,643
2026-07-03T02:20:11+00:00,5DXCZPT4SHCX,Pro Fit Bottom Wine,1
