key,label,stores_in_stock,in_stock_rate,est_national
5H2QX4ATI1DJ,Elite-Rx Top Black,172,0.0375,173
4ETHFRENRPHZ,Elite-Rx Top Navy,176,0.0383,177
1ZE76I256ORN,Elite-Rx Top Pink,171,0.0372,172
2HZGMGX9CH7B,Elite-Rx Top Teal,164,0.0357,165
13FORGOSKCZT,Elite-Rx Bottom Black,180,0.0392,181
4Q0TKXQH68DU,Elite-Rx Bottom Navy,176,0.0383,177
4RZH2TZIYXIC,Elite-Rx Bottom Teal,172,0.0375,173
6LWJFDBEY9VO,Pro Fit Top Black,638,0.1389,641
1ZIJ3VQCTHCY,Pro Fit Top Royal Blue,633,0.1378,636
17IWT6UXSUNY,Pro Fit Bottom Black,651,0.1418,654
50EDQAQZTZE9,Pro Fit Bottom Royal Blue,639,0.1392,642
