store_id,store_name,city,state,postal,5H2QX4ATI1DJ,4ETHFRENRPHZ,1ZE76I256ORN,2HZGMGX9CH7B,13FORGOSKCZT,4Q0TKXQH68DU,4RZH2TZIYXIC,6LWJFDBEY9VO,1ZIJ3VQCTHCY,17IWT6UXSUNY,50EDQAQZTZE9,line_coverage,carries_any
355,Opelika Supercenter,Opelika,AL,36801,1,1,1,1,1,1,1,1,1,1,1,11,1
1915,Yucca Valley Supercenter,Yucca Valley,CA,92284,1,1,1,1,1,1,1,1,1,1,1,11,1
767,Lake City Supercenter,Lake City,FL,32055,1,1,1,1,1,1,1,1,1,1,1,11,1
555,Dublin Supercenter,Dublin,GA,31021,1,1,1,1,1,1,1,1,1,1,1,11,1
1933,Northlake Store,Northlake,IL,60164,1,1,1,1,1,1,1,1,1,1,1,11,1
828,Plainfield E Main St Supercenter,Plainfield,IN,46168,1,1,1,1,1,1,1,1,1,1,1,11,1
1576,Schererville Store,Schererville,IN,46375,1,1,1,1,1,1,1,1,1,1,1,11,1
689,Somerset Supercenter,Somerset,KY,42501,1,1,1,1,1,1,1,1,1,1,1,11,1
1856,Bangor Supercenter,Bangor,ME,04401,1,1,1,1,1,1,1,1,1,1,1,11,1
2079,Marquette Supercenter,Marquette,MI,49855,1,1,1,1,1,1,1,1,1,1,1,11,1
1929,Cloquet Supercenter,Cloquet,MN,55720,1,1,1,1,1,1,1,1,1,1,1,11,1
37,Farmington Supercenter,Farmington,MO,63640,1,1,1,1,1,1,1,1,1,1,1,11,1
69,Festus Supercenter,Festus,MO,63028,1,1,1,1,1,1,1,1,1,1,1,11,1
29,Jefferson City W Stadium Blvd Supercenter,Jefferson City,MO,65109,1,1,1,1,1,1,1,1,1,1,1,11,1
1261,Fayetteville Ramsey St Supercenter,Fayetteville,NC,28311,1,1,1,1,1,1,1,1,1,1,1,11,1
1372,Raleigh Fayetteville Rd Supercenter,Raleigh,NC,27603,1,1,1,1,1,1,1,1,1,1,1,11,1
1565,Williston Supercenter,Williston,ND,58801,1,1,1,1,1,1,1,1,1,1,1,11,1
774,Columbus Supercenter,Columbus,NE,68601,1,1,1,1,1,1,1,1,1,1,1,11,1
1585,North Platte Supercenter,North Platte,NE,69101,1,1,1,1,1,1,1,1,1,1,1,11,1
1671,Papillion Supercenter,Papillion,NE,68133,1,1,1,1,1,1,1,1,1,1,1,11,1
867,Scottsbluff Supercenter,Scottsbluff,NE,69361,1,1,1,1,1,1,1,1,1,1,1,11,1
1742,Turnersville Supercenter,Turnersville,NJ,08012,1,1,1,1,1,1,1,1,1,1,1,11,1
549,Hobbs Supercenter,Hobbs,NM,88240,1,1,1,1,1,1,1,1,1,1,1,11,1
1584,Las Vegas Spring Mountain Rd Supercenter,Las Vegas,NV,89103,1,1,1,1,1,1,1,1,1,1,1,11,1
1857,Mentor Store,Mentor,OH,44060,1,1,1,1,1,1,1,1,1,1,1,11,1
10,Tahlequah Supercenter,Tahlequah,OK,74464,1,1,1,1,1,1,1,1,1,1,1,11,1
2069,South Medford Supercenter,Medford,OR,97501,1,1,1,1,1,1,1,1,1,1,1,11,1
